Date,Name,Year,Letterboxd URI,Rating,Average Rating,Length (mins)
2020-08-07,The Green Mile,1999,https://boxd.it/2agG,3.0,4.22,189.0
2020-08-07,Les Misérables,2012,https://boxd.it/2TT4,3.0,3.57,158.0
2020-08-07,Big Fish,2003,https://boxd.it/2a3M,1.5,3.89,125.0
2020-08-07,It's a Wonderful Life,1946,https://boxd.it/28xA,1.5,4.39,130.0
2020-08-07,127 Hours,2010,https://boxd.it/SLa,2.0,3.49,94.0
2020-08-07,Rain Man,1988,https://boxd.it/2avw,1.5,3.87,134.0
2020-08-07,Pirates of the Caribbean: Dead Men Tell No Tales,2017,https://boxd.it/5a9m,1.0,2.62,128.0
2020-08-07,The Mummy,1999,https://boxd.it/2a7a,3.0,3.52,124.0
2020-08-07,Sherlock Holmes: A Game of Shadows,2011,https://boxd.it/k3S,3.0,3.29,129.0
2020-08-07,Now You See Me 2,2016,https://boxd.it/99fw,1.5,2.93,129.0
2020-08-07,Point Break,1991,https://boxd.it/2958,2.0,3.73,122.0
2020-08-07,Sing,2016,https://boxd.it/b5EQ,0.5,3.03,108.0
2020-08-07,Ender's Game,2013,https://boxd.it/2N9Y,3.0,2.76,114.0
2020-08-07,Grave of the Fireflies,1988,https://boxd.it/1RUM,1.5,4.45,89.0
2020-08-07,Princess Mononoke,1997,https://boxd.it/2b4w,2.0,4.37,134.0
2020-08-07,Kill Bill: The Whole Bloody Affair,2006,https://boxd.it/eCrQ,4.0,4.33,247.0
2020-08-07,Les Misérables: The Staged Concert,2019,https://boxd.it/oi2c,4.0,4.08,180.0
2020-08-07,Twisted: The Untold Story of a Royal Vizier,2013,https://boxd.it/73Gi,3.0,4.2,133.0
2020-08-07,Sherlock: A Study in Pink,2010,https://boxd.it/mueU,4.0,4.17,88.0
2020-08-07,Bo Burnham: What.,2013,https://boxd.it/7au4,3.5,4.04,60.0
2020-08-07,Sherlock: A Scandal in Belgravia,2012,https://boxd.it/mwHE,3.5,4.11,89.0
2020-08-07,Sherlock: The Great Game,2010,https://boxd.it/mwRa,4.0,4.13,89.0
2020-08-07,Amélie,2001,https://boxd.it/2aUc,1.5,4.16,122.0
2020-08-07,Au Revoir les Enfants,1987,https://boxd.it/288U,2.0,4.18,105.0
2020-08-07,Ex Machina,2015,https://boxd.it/7T2k,3.5,3.99,108.0
2020-08-07,La La Land,2016,https://boxd.it/a5fa,3.0,4.08,129.0
2020-08-07,Gladiator,2000,https://boxd.it/2b9m,3.5,4.1,155.0
2020-08-07,Watchmen: Motion Comic,2008,https://boxd.it/84Dc,4.0,4.08,300.0
2020-08-07,Rebooted,2019,https://boxd.it/nhco,2.0,3.82,13.0
2020-08-07,Doctor Who: The Night of the Doctor,2013,https://boxd.it/eti6,3.0,3.89,7.0
2020-08-07,Black Mirror: Shut Up and Dance,2016,https://boxd.it/hRRq,3.5,4.09,52.0
2020-08-07,The Departed,2006,https://boxd.it/28MA,3.5,4.3,151.0
2020-08-07,North by Northwest,1959,https://boxd.it/2aRM,2.0,4.19,136.0
2020-08-08,The Godfather Part II,1974,https://boxd.it/2aNq,2.5,4.59,202.0
2020-08-08,The Usual Suspects,1995,https://boxd.it/29XE,3.0,4.06,106.0
2020-08-08,Happy Gilmore,1996,https://boxd.it/1Yey,2.0,3.36,92.0
2020-08-08,Ocean's Eleven,2001,https://boxd.it/2aZm,2.0,3.89,116.0
2020-08-08,Robin Hood: Men in Tights,1993,https://boxd.it/20H8,1.5,3.23,104.0
2020-08-08,Wonder Woman,2017,https://boxd.it/9roG,2.5,3.27,141.0
2020-08-08,War of the Worlds,2005,https://boxd.it/2bde,3.0,3.28,117.0
2020-08-08,National Treasure,2004,https://boxd.it/27x0,3.0,3.26,131.0
2020-08-08,Men in Black II,2002,https://boxd.it/2a0y,1.5,2.94,88.0
2020-08-22,This Is Spinal Tap,1984,https://boxd.it/1UOs,2.0,3.95,82.0
2020-08-23,Amadeus,1984,https://boxd.it/2aH8,4.0,4.32,161.0
2020-08-23,The Dark Knight,2008,https://boxd.it/2b0k,4.0,4.47,152.0
2020-08-23,Lady Bird,2017,https://boxd.it/dGNE,2.0,3.85,94.0
2020-08-24,WALL·E,2008,https://boxd.it/1VEo,3.0,4.19,98.0
2020-08-31,Lawrence of Arabia,1962,https://boxd.it/2wRE,1.5,4.36,228.0
2020-09-15,Memento,2000,https://boxd.it/2bcK,3.0,4.17,113.0
2020-09-15,Bāhubali: The Beginning,2015,https://boxd.it/7y2y,4.0,3.46,159.0
2020-09-16,Bāhubali 2: The Conclusion,2017,https://boxd.it/bMfO,4.0,3.76,166.0
2020-09-22,Breakfast at Tiffany's,1961,https://boxd.it/2aYS,1.5,3.75,115.0
2020-09-29,The Shape of Water,2017,https://boxd.it/dZ5m,1.0,3.67,123.0
2020-10-09,We're the Millers,2013,https://boxd.it/4srQ,3.0,3.23,110.0
2020-10-12,Enola Holmes,2020,https://boxd.it/hX2o,2.0,3.06,123.0
2020-10-14,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,2.5,4.03,115.0
2020-10-14,Good Omens,2019,https://boxd.it/jUOI,3.5,4.18,326.0
2020-10-14,Doctor Who: The Waters of Mars,2009,https://boxd.it/8Hae,3.0,3.96,62.0
2020-10-14,Doctor Who: A Christmas Carol,2010,https://boxd.it/abn0,3.5,3.75,62.0
2020-10-19,The Greatest Showman,2017,https://boxd.it/acjI,2.0,3.36,105.0
